protocol,profile,family,m,q,n,phase,backend,sample_count,failed_count,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,coefficient_of_variation,completed,error_codes
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,full_handshake,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_create,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,initiator_verify_and_finish,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,responder_total,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m256,audited_prime,256,65537,8192,responder_verify_and_reply,fast,0,100,,,,,,,,False,timeout
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,PartialPrivateKeyExtract,fast,100,0,4.2662172,3.436998,2.628395989972776,1.318897,13.971677,9.545662,0.6160952119298512,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,SetSecretValue,fast,100,0,2.27834302,2.2088875000000003,0.35066236319009225,1.915548,4.320192,2.590419,0.15391113634420697,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,Setup,fast,100,0,13.344833020000001,12.909122,1.9270136083163618,11.876083,28.803543,14.275908,0.14440147774260886,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,full_handshake,fast,100,0,60.03650449,56.127342,20.896694902637165,23.896798,116.281247,105.510487,0.348066481887163,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,initiator_create,fast,100,0,7.291016979999999,6.2388925,3.5672309132788507,3.608298,19.883256,15.002409,0.48926383288697967,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,initiator_total,fast,100,0,25.76881834,24.84422,9.378459474075152,9.474508,58.559571,41.591372,0.36394604325015983,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,initiator_verify_and_finish,fast,100,0,18.47780136,17.277986,8.487867923534615,5.315488,50.382291,32.499876,0.4593548636099536,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,responder_total,fast,100,0,26.84286617,26.521274,8.935578923112141,10.423697,53.699054,43.94329,0.33288468029165535,True,
C2LAKE,audited_prime_m32,audited_prime,32,1031,640,responder_verify_and_reply,fast,100,0,26.84286617,26.521274,8.935578923112141,10.423697,53.699054,43.94329,0.33288468029165535,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,PartialPrivateKeyExtract,fast,100,0,8.4508457,7.965766,1.8212548936893218,6.137181,18.078351,11.588798,0.21551155450505052,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,SetSecretValue,fast,100,0,8.10316025,8.0630955,0.7557756186879135,6.532374,10.582046,9.303111,0.0932692425387877,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,Setup,fast,100,0,23.04416807,22.641045,1.611962424793903,20.923287,29.245317,26.375349,0.06995099236810517,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,full_handshake,fast,100,0,81.32577877,77.94582650000001,17.0495827504538,52.332713,136.593776,114.172896,0.20964549013016234,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,initiator_create,fast,100,0,19.05538495,18.1152765,3.1836510326259364,14.340992,29.667116,25.505398,0.1670735616719166,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,initiator_total,fast,100,0,39.18467071,37.000346500000006,7.766631570685691,25.775918,69.902968,52.137307,0.1982058654560451,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,initiator_verify_and_finish,fast,100,0,20.129285760000002,17.901128999999997,6.884410367603923,9.493776,50.072492,32.152678,0.34200966937854843,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,responder_total,fast,100,0,38.72153757,36.7340795,7.832299576116577,26.241565,72.592386,53.984265,0.20227243202720208,True,
C2LAKE,audited_prime_m48,audited_prime,48,2309,1073,responder_verify_and_reply,fast,100,0,38.72153757,36.7340795,7.832299576116577,26.241565,72.592386,53.984265,0.20227243202720208,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,PartialPrivateKeyExtract,fast,100,0,15.39574983,14.8367585,2.00323769251598,13.052497,25.091156,18.47604,0.13011627979382281,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,SetSecretValue,fast,100,0,16.26097638,15.989355,1.2854180909887991,14.322935,21.882459,18.80875,0.07904925638842845,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,Setup,fast,100,0,39.19939175,38.671461,3.322236379819912,35.372273,61.564429,44.187392,0.08475224312172937,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,full_handshake,fast,100,0,123.62976208,119.469882,13.291413170820338,101.462384,164.398043,148.285745,0.1075098175973157,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,initiator_create,fast,100,0,35.71000895,35.09106,3.2923779057972284,31.543368,48.675287,43.185798,0.092197621972235,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,initiator_total,fast,100,0,62.072678960000005,61.4195225,6.630307347590907,51.365001,82.132969,72.973902,0.10681522786963192,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,initiator_verify_and_finish,fast,100,0,26.362670010000002,24.868675,5.858580196189765,17.163809,44.228938,36.931846,0.22223015324196915,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,responder_total,fast,100,0,61.24774424,60.572542999999996,6.1960908770604135,50.006705,78.10322,72.874599,0.10116439313717349,True,
C2LAKE,audited_prime_m64,audited_prime,64,4099,1536,responder_verify_and_reply,fast,100,0,61.24774424,60.572542999999996,6.1960908770604135,50.006705,78.10322,72.874599,0.10116439313717349,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,PartialPrivateKeyExtract,fast,100,0,21.63778475,21.1112775,2.52075645155221,18.651995,32.801023,26.461483,0.11649789849916173,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,SetSecretValue,fast,100,0,23.68968405,23.200543,2.046336838168734,21.522299,33.688686,25.785661,0.08638092571642947,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,Setup,fast,100,0,57.181030549999996,56.212132,4.521436989797212,53.369938,89.719802,63.625469,0.07907232427095898,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,full_handshake,fast,100,0,173.08101645,170.2115435,15.261934076046856,152.842613,255.149219,197.09077,0.08817797808840437,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,initiator_create,fast,100,0,55.40555183000001,53.676562000000004,10.026723780649997,48.62349,146.311035,62.221714,0.18096965826484027,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,initiator_total,fast,100,0,86.44562549,84.2233045,12.931745590661883,72.964213,195.98042,97.99065,0.14959398485881537,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,initiator_verify_and_finish,fast,100,0,31.040073659999997,30.0656265,5.399105386724957,23.046729,49.669385,40.740015,0.17393983809009292,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,responder_total,fast,100,0,86.06569958,83.808517,10.019256342042505,74.2978,161.77781,97.923662,0.11641404637313592,True,
C2LAKE,audited_prime_m80,audited_prime,80,6421,2024,responder_verify_and_reply,fast,100,0,86.06569958,83.808517,10.019256342042505,74.2978,161.77781,97.923662,0.11641404637313592,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,PartialPrivateKeyExtract,fast,100,0,45.62944391,45.046328,3.9375660084638153,37.729101,74.038784,50.308373,0.08629441148198765,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,SetSecretValue,fast,100,0,44.31030957,43.9301895,3.6316038519438236,36.902524,70.601086,46.13015,0.08195844008281487,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,Setup,fast,100,0,98.57359993,98.08087549999999,5.744186000394606,85.573295,134.6883,103.578609,0.05827306707347323,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,full_handshake,fast,100,0,325.67183655,322.507745,25.98429779879261,282.699675,543.121771,348.270104,0.07978675120961302,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,initiator_create,fast,100,0,107.99250244999999,108.2230075,5.376824283373738,90.860813,134.739181,115.278409,0.04978886646193963,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,initiator_total,fast,100,0,162.11207682,162.03738650000003,8.551544377963467,136.372192,191.526733,174.884281,0.05275081626064549,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,initiator_verify_and_finish,fast,100,0,54.11957437,53.0948925,5.5531132011836615,41.919205,75.126696,64.603867,0.10260822014634889,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,responder_total,fast,100,0,162.64198966,161.5605165,10.657708455869875,143.105744,240.073296,176.727353,0.0655286404092179,True,
C2LAKE,audited_prime_m96,audited_prime,96,9221,2529,responder_verify_and_reply,fast,100,0,162.64198966,161.5605165,10.657708455869875,143.105744,240.073296,176.727353,0.0655286404092179,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,PartialPrivateKeyExtract,fast,100,0,57.21403719,56.0827055,5.907520806529783,49.92327,99.312867,64.342753,0.10325299693345732,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,SetSecretValue,fast,100,0,55.97473846,55.5909305,3.9136172813511148,49.883932,70.046764,62.088096,0.0699175626188556,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,Setup,fast,100,0,128.73357796,126.064924,7.851722878359708,118.543923,155.43051,140.447513,0.060992034889291974,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,full_handshake,fast,100,0,413.90568933000003,402.46394499999997,28.218362583855452,364.122447,497.285598,470.56949,0.06817582679168593,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,initiator_create,fast,100,0,143.38870726000002,139.8461615,12.36713232231457,129.591889,208.970858,156.412632,0.0862489979764573,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,initiator_total,fast,100,0,208.04427393000003,204.167296,15.62363554161059,185.271683,275.254058,230.487348,0.0750976474693431,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,initiator_verify_and_finish,fast,100,0,64.65556667,63.069567,6.102264011412843,55.042177,92.238736,75.644808,0.09438110785663063,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,responder_total,fast,100,0,208.25571779,202.9119685,15.575538164512038,186.610487,255.282163,233.611646,0.07479044671521591,True,
C2LAKE,paper_literal_m112,paper_literal,112,12544,3050,responder_verify_and_reply,fast,100,0,208.25571779,202.9119685,15.575538164512038,186.610487,255.282163,233.611646,0.07479044671521591,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,PartialPrivateKeyExtract,fast,100,0,154.97371241000002,151.753082,10.245483561531849,142.350014,190.251679,181.563117,0.06611110621410612,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,SetSecretValue,fast,100,0,153.68091235,150.6806195,10.715193659334556,141.246537,192.537287,177.812156,0.0697236468438662,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,Setup,fast,100,0,251.64869851,245.222664,20.952375146654393,230.555217,332.115756,299.181671,0.08326041529605523,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,full_handshake,fast,100,0,873.54125545,853.1357204999999,71.48094281850597,798.013393,1154.584217,1039.352581,0.08182892607823422,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,initiator_create,fast,100,0,270.77639773,264.864183,20.420384670767042,248.044355,342.606631,316.469245,0.07541419725632394,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,initiator_total,fast,100,0,433.69871221,423.7298295,31.2640554287592,399.482411,539.62633,503.614325,0.07208703772590619,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,initiator_verify_and_finish,fast,100,0,162.92231448,158.5088215,12.898241970644916,147.854551,210.744914,192.437687,0.07916805019504113,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,responder_total,fast,100,0,433.2364476,423.81196750000004,30.25757858535769,399.003086,555.868153,497.325612,0.06984079652802898,True,
C2LAKE,paper_literal_m128,paper_literal,128,16384,3584,responder_verify_and_reply,fast,100,0,433.2364476,423.81196750000004,30.25757858535769,399.003086,555.868153,497.325612,0.06984079652802898,True,
