profile,backend,keygen_backend,operation,sample_count,measured_failure_count,placeholder_count,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,coefficient_of_variation
audited_preserve_keylen,numpy_reference,not_applicable,T_mul0,1000,0,0,0.7923515250000001,0.7795019999999999,0.11299378628104013,0.711353,3.858069,0.864733,0.14260562732057608
audited_preserve_keylen,numpy_reference,not_applicable,T_mul1,1000,0,0,0.089436938,0.082996,0.020167433165183813,0.076649,0.421399,0.129295,0.22549333213066636
audited_preserve_keylen,numpy_reference,not_applicable,T_mul2,1000,0,0,0.024937838,0.0234855,0.005868372324738436,0.02177,0.111406,0.036599,0.23532001149171133
audited_preserve_keylen,numpy_reference,not_applicable,T_xor,1000,0,0,0.006808219,0.006477,0.0018617106142037757,0.005355,0.034041,0.007878,0.27345045954070746
audited_preserve_keylen,unavailable,real_trapdoor,SamplePre,0,0,1,,,,,,,
audited_preserve_keylen,unavailable,real_trapdoor,TrapGen,0,0,1,,,,,,,
paper_performance,frodo_native,not_applicable,frodo_native_lcla_operations,0,0,1,,,,,,,
paper_performance,numpy_reference,constructed_relation,constructed_protocol,400,0,0,75.1335721225,80.71938449999999,11.565432102530462,60.739042,115.735511,90.208309,0.1539316150664824
paper_performance,numpy_reference,constructed_relation,constructed_static_keygen,1000,0,0,0.820767402,0.8063935,0.040328619138477774,0.759142,1.0882,0.907698,0.04913525931976252
paper_performance,numpy_reference,not_applicable,T_H1,1000,0,0,0.016637774,0.015319,0.005125865438043024,0.013303,0.059755,0.023227,0.3080860118693176
paper_performance,numpy_reference,not_applicable,T_H2,1000,0,0,22.191970396000002,21.789943,1.5897203360099843,20.567192,40.385654,24.027169,0.07163493406139924
paper_performance,numpy_reference,not_applicable,T_Mod,1000,0,0,0.097529713,0.09301,0.013758770198845208,0.088123,0.301963,0.121513,0.14107260008901296
paper_performance,numpy_reference,not_applicable,T_Samp0,1000,0,0,0.06552968199999999,0.0596405,0.017636022372487396,0.048049,0.217578,0.09862,0.26913029079688494
paper_performance,numpy_reference,not_applicable,T_Samp1,1000,0,0,1.254026484,1.2488644999999998,0.08512290419949113,1.142907,2.582879,1.330629,0.0678796702346927
paper_performance,numpy_reference,not_applicable,T_Samp2,1000,0,0,0.09731168999999999,0.092914,0.013247501542324878,0.085301,0.200933,0.12624,0.13613473923148267
paper_performance,numpy_reference,not_applicable,T_Sign,1000,0,0,0.8865374229999999,0.8704529999999999,0.08730827109400387,0.804665,2.753509,1.001697,0.0984823300504979
paper_performance,numpy_reference,not_applicable,T_add0,1000,0,0,17.623367824000002,17.388789000000003,1.266709853463458,16.767028,42.795278,18.636474,0.07187671880390628
paper_performance,numpy_reference,not_applicable,T_add1,1000,0,0,0.08899591200000001,0.086039,0.010852892950373002,0.078799,0.199534,0.102792,0.12194821881675869
paper_performance,numpy_reference,not_applicable,T_mod0,1000,0,0,0.572118103,0.5575605,0.061362777334002666,0.518185,1.740782,0.652129,0.10725543731658962
paper_performance,numpy_reference,not_applicable,T_mod1,1000,0,0,0.005980928,0.005570500000000001,0.0022640763253070776,0.004797,0.035914,0.006987,0.3785493363750705
paper_performance,numpy_reference,not_applicable,T_mul0,1000,0,0,0.8220061439999999,0.811384,0.07159049707744222,0.746024,2.355132,0.89338,0.08709241116991241
paper_performance,numpy_reference,not_applicable,T_mul1,1000,0,0,0.088056022,0.08235,0.01555594632966815,0.075561,0.246987,0.125139,0.17665965343821857
paper_performance,numpy_reference,not_applicable,T_mul2,1000,0,0,0.024900461,0.023559,0.005298493602381624,0.021722,0.070374,0.035938,0.21278696817627693
paper_performance,numpy_reference,not_applicable,T_xor,1000,0,0,0.006863274,0.0064385,0.002227890111501014,0.005467,0.035546,0.00794,0.32461039898756977
paper_performance,unavailable,real_trapdoor,SamplePre,0,0,1,,,,,,,
paper_performance,unavailable,real_trapdoor,TrapGen,0,0,1,,,,,,,
