actual_identity_bytes,actual_identity_compact_message_bits,actual_identity_compact_message_bytes,availability,bits_per_zq,canonical_hash_encoding_bytes,element_count,element_kind,family,gaussian_samples,h1,id_mask,item,m,mac_a,mac_b,mathematical_ideal_bits,mathematical_ideal_bytes,matrix_multiply,matrix_vector,mod2,n,network_packets,network_rounds,network_wire_encoding_defined,note,numpy_reference_bytes,paper_compact_message_bits,paper_compact_message_bytes,paper_identity_bits,phase,profile,q,scalar_multiply,section,session_kdf,signal_s,transmitted_fields,vector_add_sub,xor
,,,unavailable,,,0,opaque,audited,,,,trapdoor,,,,,,,,,,,,,官方 FrodoKEM 不提供论文要求的 TrapGen/SamplePre，无法量化真实 trapdoor。,,,,,,audited_preserve_keylen,,,storage,,,,,
,,,constructed_only,,,768,zq,audited,,,,static_private_s1_s2_s,,,,19200,2400,,,,,,,,含公开 s2 与组合 s,6144,,,,,audited_preserve_keylen,,,storage,,,,,
,,,constructed_only,,,5,zq,audited,,,,static_error_f,,,,125,16,,,,,,,,constructed relation 的 f,40,,,,,audited_preserve_keylen,,,storage,,,,,
,,,constructed_only,,,15,zq,audited,,,,static_public_pk_u1_u2,,,,375,47,,,,,,,,三个 n 维向量,120,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,67072,zq,audited,,,,alice_ephemeral_X_E_e,,,,1676800,209600,,,,,,,,X_A、E_A、e_A,536576,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,66816,zq,audited,,,,bob_ephemeral_X_E,,,,1670400,208800,,,,,,,,X_B、E_B,534528,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,131072,zq,audited,,,,transcript_matrices,,,,3276800,409600,,,,,,,,C_A、C_B,1048576,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,1024,bit,audited,,,,transcript_bits,,,,1024,128,,,,,,,,delta_A、h_A、h_B、delta_B,8192,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,512,bit,audited,,,,session_shared_bits,,,,512,64,,,,,,,,m1、m2,4096,,,,,audited_preserve_keylen,,,storage,,,,,
,,,available,,,1728,zq,audited,,,,A,,,,43200,5400,,,,,,,,公共矩阵 n×m,13824,,,,,audited_preserve_dimension,,,storage,,,,,
,,,unavailable,,,0,opaque,audited,,,,trapdoor,,,,,,,,,,,,,官方 FrodoKEM 不提供论文要求的 TrapGen/SamplePre，无法量化真实 trapdoor。,,,,,,audited_preserve_dimension,,,storage,,,,,
,,,constructed_only,,,864,zq,audited,,,,static_private_s1_s2_s,,,,21600,2700,,,,,,,,含公开 s2 与组合 s,6912,,,,,audited_preserve_dimension,,,storage,,,,,
,,,constructed_only,,,6,zq,audited,,,,static_error_f,,,,150,19,,,,,,,,constructed relation 的 f,48,,,,,audited_preserve_dimension,,,storage,,,,,
,,,constructed_only,,,18,zq,audited,,,,static_public_pk_u1_u2,,,,450,57,,,,,,,,三个 n 维向量,144,,,,,audited_preserve_dimension,,,storage,,,,,
,,,available,,,84960,zq,audited,,,,alice_ephemeral_X_E_e,,,,2124000,265500,,,,,,,,X_A、E_A、e_A,679680,,,,,audited_preserve_dimension,,,storage,,,,,
,,,available,,,84672,zq,audited,,,,bob_ephemeral_X_E,,,,2116800,264600,,,,,,,,X_B、E_B,677376,,,,,audited_preserve_dimension,,,storage,,,,,
,,,available,,,165888,zq,audited,,,,transcript_matrices,,,,4147200,518400,,,,,,,,C_A、C_B,1327104,,,,,audited_preserve_dimension,,,storage,,,,,
,,,available,,,1152,bit,audited,,,,transcript_bits,,,,1152,144,,,,,,,,delta_A、h_A、h_B、delta_B,9216,,,,,audited_preserve_dimension,,,storage,,,,,
,,,available,,,576,bit,audited,,,,session_shared_bits,,,,576,72,,,,,,,,m1、m2,4608,,,,,audited_preserve_dimension,,,storage,,,,,
,,,,,,,,toy,0,0,0,,,0,0,,,0,0,0,,,,,,,,,,setup,toy,,0,operations,0,0,,0,0
,,,,,,,,toy,3,0,0,,,0,0,,,0,2,0,,,,,,,,,,entity_key_generation,toy,,2,operations,0,0,,2,0
,,,,,,,,toy,0,1,0,,,0,0,,,0,1,0,,,,,,,,,,kgc_key_generation,toy,,0,operations,0,0,,1,0
,,,,,,,,toy,0,1,0,,,0,0,,,0,2,0,,,,,,,,,,entity_verify_and_assemble,toy,,1,operations,0,0,,3,0
,,,,,,,,toy,3,1,0,,,1,0,,,1,1,1,,,,,,,,,,alice_create,toy,,2,operations,0,1,,2,0
,,,,,,,,toy,2,0,0,,,1,1,,,1,1,1,,,,,,,,,,bob_verify_and_reply,toy,,1,operations,0,0,,1,0
,,,,,,,,toy,1,0,1,,,0,1,,,0,1,1,,,,,,,,,,alice_verify_and_finish,toy,,1,operations,1,1,,1,1
,,,,,,,,toy,0,1,1,,,0,0,,,0,1,1,,,,,,,,,,bob_finish,toy,,0,operations,1,0,,0,1
,,,,,,,,toy,6,2,2,,,2,2,,,2,4,4,,,,,,,,,,full_handshake,toy,,4,operations,2,2,,4,2
