panel,scheme,entities,initiators,value,unit,formula_id,formula_variant,status
bits,Dabra et al. [34],50,20,20000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Ding et al. [35],50,20,2000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Ding et al. [35],50,20,1000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Ding et al. [35],50,20,20000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,LCLA-AKA,50,20,80,rounds,F6-LCLA-rounds,paper_narrative_example_fitted,example_fitted_conflicting
fields,LCLA-AKA,50,20,80,fields,F6-LCLA-fields,paper_narrative_example_fitted,example_fitted_conflicting
bits,LCLA-AKA,50,20,2000000,bits,F6-LCLA-bits,paper_narrative_example_fitted,example_fitted_conflicting
rounds,Feng et al. [23],50,40,4000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Feng et al. [23],50,40,2000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Feng et al. [23],50,40,40000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Dabra et al. [34],50,40,4000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Dabra et al. [34],50,40,2000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Dabra et al. [34],50,40,40000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Ding et al. [35],50,40,4000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Ding et al. [35],50,40,2000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Ding et al. [35],50,40,40000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,LCLA-AKA,50,40,160,rounds,F6-LCLA-rounds,paper_narrative_example_fitted,example_fitted_conflicting
fields,LCLA-AKA,50,40,160,fields,F6-LCLA-fields,paper_narrative_example_fitted,example_fitted_conflicting
bits,LCLA-AKA,50,40,4000000,bits,F6-LCLA-bits,paper_narrative_example_fitted,example_fitted_conflicting
rounds,Feng et al. [23],50,60,6000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Feng et al. [23],50,60,3000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Feng et al. [23],50,60,60000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Dabra et al. [34],50,60,6000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Dabra et al. [34],50,60,3000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Dabra et al. [34],50,60,60000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Ding et al. [35],50,60,6000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Ding et al. [35],50,60,3000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Ding et al. [35],50,60,60000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,LCLA-AKA,50,60,240,rounds,F6-LCLA-rounds,paper_narrative_example_fitted,example_fitted_conflicting
fields,LCLA-AKA,50,60,240,fields,F6-LCLA-fields,paper_narrative_example_fitted,example_fitted_conflicting
bits,LCLA-AKA,50,60,6000000,bits,F6-LCLA-bits,paper_narrative_example_fitted,example_fitted_conflicting
rounds,Feng et al. [23],50,80,8000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Feng et al. [23],50,80,4000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Feng et al. [23],50,80,80000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Dabra et al. [34],50,80,8000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Dabra et al. [34],50,80,4000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Dabra et al. [34],50,80,80000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Ding et al. [35],50,80,8000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Ding et al. [35],50,80,4000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Ding et al. [35],50,80,80000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,LCLA-AKA,50,80,320,rounds,F6-LCLA-rounds,paper_narrative_example_fitted,example_fitted_conflicting
fields,LCLA-AKA,50,80,320,fields,F6-LCLA-fields,paper_narrative_example_fitted,example_fitted_conflicting
bits,LCLA-AKA,50,80,8000000,bits,F6-LCLA-bits,paper_narrative_example_fitted,example_fitted_conflicting
rounds,Feng et al. [23],50,100,10000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Feng et al. [23],50,100,5000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Feng et al. [23],50,100,100000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Dabra et al. [34],50,100,10000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Dabra et al. [34],50,100,5000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Dabra et al. [34],50,100,100000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,Ding et al. [35],50,100,10000,rounds,F6-other-rounds,paper_narrative_example_fitted,example_fitted_partial
fields,Ding et al. [35],50,100,5000,fields,F6-other-fields,paper_narrative_example_fitted,example_fitted_partial
bits,Ding et al. [35],50,100,100000000,bits,F6-other-bits,paper_narrative_example_fitted,example_fitted_partial
rounds,LCLA-AKA,50,100,400,rounds,F6-LCLA-rounds,paper_narrative_example_fitted,example_fitted_conflicting
fields,LCLA-AKA,50,100,400,fields,F6-LCLA-fields,paper_narrative_example_fitted,example_fitted_conflicting
bits,LCLA-AKA,50,100,10000000,bits,F6-LCLA-bits,paper_narrative_example_fitted,example_fitted_conflicting
