panel,scheme,entities,value,unit,formula_id,evidence_class,status
fields,LCLA-AKA,48,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,48,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],50,52,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],50,154,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],50,205056,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],50,52,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],50,155,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],50,320264,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],50,52,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],50,155,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],50,410656,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,50,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,50,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,50,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
