panel,scheme,entities,value,unit,formula_id,evidence_class,status
rounds,LCLA-AKA,10,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,10,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,10,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],12,14,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],12,40,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],12,49408,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],12,14,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],12,41,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],12,77064,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],12,14,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],12,41,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],12,98752,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,12,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,12,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,12,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],14,16,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],14,46,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],14,57600,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],14,16,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],14,47,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],14,89864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],14,16,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],14,47,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
